id,value
id_0,24.403807
id_1,60.887861
id_2,22.220789
id_3,29.239050
id_4,10.085730
id_5,25.764759
id_6,41.418895
id_7,16.878616
id_8,50.510306
id_9,29.704182
id_10,38.103390
id_11,55.053933
id_12,37.919700
id_13,31.976240
id_14,29.689519
id_15,11.665276
id_16,54.058469
id_17,20.979111
id_18,13.397501
id_19,14.740957
id_20,18.474668
id_21,30.377159
id_22,38.879761
id_23,12.643578
id_24,61.396995
id_25,44.149490
id_26,25.217063
id_27,8.389941
id_28,29.379482
id_29,35.252519
id_30,14.042920
id_31,10.659486
id_32,14.722809
id_33,8.291271
id_34,16.085705
id_35,43.621265
id_36,23.834474
id_37,28.502247
id_38,12.067700
id_39,57.562414
id_40,44.304212
id_41,24.679811
id_42,51.431260
id_43,19.363048
id_44,40.343049
id_45,51.185236
id_46,58.890033
id_47,41.579024
id_48,50.866870
id_49,34.455346
id_50,31.417453
id_51,21.406035
id_52,44.425138
id_53,24.981329
id_54,34.378179
id_55,39.543357
id_56,24.415345
id_57,20.859604
id_58,38.049714
id_59,34.745579
id_60,9.985486
id_61,31.511213
id_62,30.491336
id_63,46.396701
id_64,48.530446
id_65,27.081508
id_66,36.532744
id_67,52.123545
id_68,27.397196
id_69,40.114920
id_70,62.282595
id_71,57.474570
id_72,39.677727
id_73,15.298029
id_74,13.112839
id_75,34.817931
id_76,62.837301
id_77,3.404828
id_78,43.407010
id_79,41.930502
id_80,8.454936
id_81,20.428174
id_82,6.315944
id_83,32.769623
id_84,5.602031
id_85,6.628851
id_86,17.297691
id_87,11.941718
id_88,19.340618
id_89,20.916465
id_90,35.082849
id_91,11.523117
id_92,12.977606
id_93,11.949130
id_94,34.732144
id_95,14.814266
id_96,14.864305
id_97,8.504533
id_98,10.232971
id_99,9.963791
id_100,9.065728
id_101,21.057339
id_102,8.704381
id_103,10.900883
id_104,13.728448
id_105,33.101142
id_106,21.223665
id_107,9.619632
id_108,22.042986
id_109,17.849733
id_110,9.719029
id_111,12.612663
id_112,15.660910
id_113,20.196590
id_114,20.645123
id_115,17.001689
id_116,11.612341
id_117,39.188204
id_118,23.056770
id_119,3.225131
id_120,1.154631
id_121,9.846555
id_122,11.412542
id_123,10.466666
id_124,6.883986
id_125,24.285506
id_126,23.905239
id_127,8.843284
id_128,17.471220
id_129,14.183251
id_130,2.304619
id_131,29.771761
id_132,17.623001
id_133,29.553337
id_134,27.805264
id_135,24.910357
id_136,11.896350
id_137,24.622147
id_138,74.974050
id_139,67.485668
id_140,31.895039
id_141,18.252522
id_142,22.270778
id_143,6.911261
id_144,16.332057
id_145,10.752927
id_146,17.820299
id_147,8.369076
id_148,10.099793
id_149,14.062772
id_150,38.041813
id_151,15.872923
id_152,21.873618
id_153,11.849748
id_154,17.406004
id_155,26.463601
id_156,19.893347
id_157,35.525863
id_158,6.737517
id_159,19.476859
id_160,42.242210
id_161,17.793331
id_162,57.848693
id_163,14.786316
id_164,32.379685
id_165,26.745084
id_166,22.813616
id_167,0.640384
id_168,66.348288
id_169,16.795315
id_170,15.270369
id_171,67.909416
id_172,18.901479
id_173,4.520658
id_174,27.426610
id_175,2.114612
id_176,9.672182
id_177,18.544752
id_178,22.602830
id_179,19.955164
id_180,41.245488
id_181,36.310527
id_182,34.227653
id_183,17.005865
id_184,5.485395
id_185,40.677594
id_186,32.283028
id_187,32.940525
id_188,13.532549
id_189,23.833894
id_190,14.216299
id_191,15.099668
id_192,27.127685
id_193,77.190802
id_194,35.187790
id_195,11.408481
id_196,61.813249
id_197,19.400603
id_198,17.694187
id_199,21.304086
id_200,116.398028
id_201,22.889527
id_202,58.781902
id_203,6.277171
id_204,57.645093
id_205,29.816749
id_206,11.684791
id_207,18.799913
id_208,59.209122
id_209,18.571658
id_210,42.993646
id_211,66.877268
id_212,22.333951
id_213,117.559162
id_214,39.650507
id_215,73.113148
id_216,82.874971
id_217,69.846678
id_218,38.449779
id_219,26.746289
id_220,30.364274
id_221,57.627386
id_222,23.898794
id_223,36.497732
id_224,45.071005
id_225,9.583690
id_226,5.879839
id_227,77.386852
id_228,27.031138
id_229,3.142502
id_230,39.303456
id_231,12.213666
id_232,21.915687
id_233,5.924206
id_234,17.368954
id_235,21.205959
id_236,15.638085
id_237,4.311036
id_238,26.643809
id_239,13.841527
