id,value
id_0,25.276919
id_1,68.689205
id_2,19.115827
id_3,27.393216
id_4,7.314191
id_5,36.593898
id_6,40.792587
id_7,14.309600
id_8,49.550371
id_9,33.310258
id_10,38.633924
id_11,57.601579
id_12,33.828154
id_13,40.682879
id_14,25.183162
id_15,10.460491
id_16,52.018244
id_17,21.345397
id_18,16.378530
id_19,17.544575
id_20,13.655252
id_21,30.168671
id_22,36.937889
id_23,4.299229
id_24,60.543770
id_25,43.293965
id_26,25.632540
id_27,8.286205
id_28,31.444893
id_29,35.637492
id_30,17.697310
id_31,10.414978
id_32,17.459176
id_33,2.001913
id_34,17.079629
id_35,41.577027
id_36,16.071599
id_37,26.605318
id_38,12.032144
id_39,62.044158
id_40,47.453700
id_41,17.715495
id_42,53.019001
id_43,17.852856
id_44,44.735427
id_45,51.517585
id_46,60.402289
id_47,41.289426
id_48,51.241124
id_49,39.526732
id_50,29.494848
id_51,23.604331
id_52,39.189562
id_53,24.103520
id_54,38.542459
id_55,42.103819
id_56,23.023289
id_57,21.263515
id_58,36.939762
id_59,31.430712
id_60,15.012382
id_61,21.638126
id_62,31.697657
id_63,55.839914
id_64,48.422899
id_65,25.996571
id_66,39.514175
id_67,54.233099
id_68,27.870366
id_69,35.923028
id_70,65.780213
id_71,54.604295
id_72,43.681129
id_73,11.814336
id_74,9.301479
id_75,35.056731
id_76,62.840452
id_77,0.060626
id_78,42.282663
id_79,39.280655
id_80,9.537678
id_81,20.415488
id_82,5.111823
id_83,31.547642
id_84,7.842438
id_85,7.693629
id_86,15.221509
id_87,10.082784
id_88,12.339784
id_89,28.570364
id_90,34.032947
id_91,9.830169
id_92,11.976805
id_93,5.031492
id_94,38.856382
id_95,18.288953
id_96,16.949732
id_97,7.910701
id_98,9.730553
id_99,3.286681
id_100,11.612810
id_101,18.570264
id_102,12.603350
id_103,8.609647
id_104,11.939805
id_105,37.547570
id_106,26.597349
id_107,5.070766
id_108,15.032496
id_109,15.045015
id_110,12.808114
id_111,17.297327
id_112,14.389530
id_113,28.309365
id_114,21.068047
id_115,14.817607
id_116,6.284026
id_117,47.512276
id_118,25.688024
id_119,0.543821
id_120,0.614839
id_121,7.721137
id_122,14.274523
id_123,13.613349
id_124,7.327644
id_125,26.977043
id_126,20.156285
id_127,10.711079
id_128,19.374839
id_129,17.923070
id_130,3.216116
id_131,34.646033
id_132,10.911496
id_133,19.840139
id_134,21.691375
id_135,21.072812
id_136,7.782082
id_137,21.674788
id_138,79.772454
id_139,62.858294
id_140,28.169178
id_141,18.072015
id_142,23.010864
id_143,7.025491
id_144,7.725143
id_145,10.605545
id_146,19.673020
id_147,8.834845
id_148,12.388289
id_149,17.771509
id_150,49.878396
id_151,21.339840
id_152,25.698057
id_153,14.974416
id_154,15.228423
id_155,24.465178
id_156,21.901627
id_157,36.190318
id_158,1.240457
id_159,21.080310
id_160,45.426061
id_161,18.670648
id_162,58.571334
id_163,18.426605
id_164,34.715957
id_165,23.150755
id_166,21.514895
id_167,-0.027126
id_168,68.238016
id_169,18.184141
id_170,16.884276
id_171,70.944685
id_172,18.867037
id_173,1.958054
id_174,22.906532
id_175,0.823032
id_176,5.325541
id_177,16.321726
id_178,20.581723
id_179,21.813497
id_180,44.575279
id_181,28.660548
id_182,28.342366
id_183,12.306257
id_184,6.153740
id_185,40.212187
id_186,37.345088
id_187,36.100673
id_188,14.627541
id_189,20.252273
id_190,15.631187
id_191,15.398601
id_192,32.860035
id_193,77.679301
id_194,28.496108
id_195,9.910359
id_196,61.972397
id_197,15.637552
id_198,19.181045
id_199,22.946345
id_200,131.798723
id_201,23.923437
id_202,57.874618
id_203,2.720653
id_204,62.642992
id_205,37.382415
id_206,14.669713
id_207,11.157188
id_208,66.169665
id_209,10.808281
id_210,26.872681
id_211,71.220737
id_212,20.905592
id_213,112.837410
id_214,40.776030
id_215,83.795433
id_216,98.408204
id_217,73.544113
id_218,28.825009
id_219,15.522788
id_220,32.013847
id_221,56.988998
id_222,26.338314
id_223,40.347162
id_224,42.508710
id_225,6.557466
id_226,2.484355
id_227,74.706143
id_228,27.242375
id_229,0.040185
id_230,41.566344
id_231,12.938970
id_232,20.607001
id_233,7.182602
id_234,11.271349
id_235,22.493930
id_236,11.506284
id_237,-2.032113
id_238,19.930326
id_239,1.606779
