id,value
id_0,24.713234
id_1,59.685658
id_2,18.329935
id_3,27.950793
id_4,9.049571
id_5,36.163257
id_6,37.414855
id_7,15.442894
id_8,47.389129
id_9,32.224943
id_10,38.175320
id_11,56.906141
id_12,34.678796
id_13,42.158138
id_14,23.886061
id_15,11.392850
id_16,50.994830
id_17,21.888241
id_18,19.088982
id_19,19.260367
id_20,14.071200
id_21,28.800715
id_22,35.698547
id_23,8.564755
id_24,56.863439
id_25,43.677270
id_26,27.612395
id_27,7.607236
id_28,27.673384
id_29,35.308136
id_30,17.945977
id_31,10.846416
id_32,15.031988
id_33,6.339636
id_34,17.117350
id_35,36.982295
id_36,17.289541
id_37,26.377084
id_38,5.487278
id_39,59.074698
id_40,46.402744
id_41,14.742935
id_42,47.850962
id_43,17.015343
id_44,43.141938
id_45,49.335728
id_46,59.617929
id_47,38.656808
id_48,50.368409
id_49,41.249130
id_50,28.560826
id_51,24.308465
id_52,37.927464
id_53,23.660933
id_54,36.432555
id_55,38.049797
id_56,23.424043
id_57,20.876881
id_58,35.780412
id_59,28.902318
id_60,15.469419
id_61,19.700165
id_62,30.581525
id_63,53.966755
id_64,48.258475
id_65,25.229493
id_66,40.561724
id_67,52.061742
id_68,26.442044
id_69,38.086332
id_70,62.948459
id_71,51.598221
id_72,42.648177
id_73,10.397175
id_74,11.501240
id_75,34.964826
id_76,59.223374
id_77,1.871776
id_78,42.010761
id_79,39.884765
id_80,7.351176
id_81,21.801973
id_82,6.057310
id_83,31.863520
id_84,10.184906
id_85,4.185182
id_86,15.128626
id_87,10.211046
id_88,12.313455
id_89,28.213664
id_90,29.444871
id_91,10.278501
id_92,12.992769
id_93,5.960987
id_94,35.750024
id_95,14.548085
id_96,14.062919
id_97,7.750835
id_98,9.949770
id_99,2.834301
id_100,11.596265
id_101,16.836331
id_102,10.385084
id_103,4.543171
id_104,12.813796
id_105,35.850144
id_106,26.914578
id_107,5.889545
id_108,15.073998
id_109,14.886188
id_110,13.399657
id_111,17.224291
id_112,11.743205
id_113,27.673513
id_114,21.045371
id_115,14.314844
id_116,6.393690
id_117,44.187909
id_118,28.469122
id_119,0.324900
id_120,0.761498
id_121,9.938120
id_122,14.598191
id_123,14.582465
id_124,5.717093
id_125,25.263927
id_126,19.388452
id_127,12.449616
id_128,19.455319
id_129,17.436631
id_130,3.047572
id_131,35.251740
id_132,11.878396
id_133,24.010780
id_134,22.478937
id_135,19.748302
id_136,8.789246
id_137,18.154031
id_138,77.078437
id_139,61.525745
id_140,26.166505
id_141,16.393676
id_142,23.644260
id_143,6.906866
id_144,8.912207
id_145,9.711825
id_146,19.991934
id_147,6.133046
id_148,12.821070
id_149,15.453031
id_150,50.748951
id_151,21.185848
id_152,23.455888
id_153,14.843349
id_154,12.482197
id_155,26.038044
id_156,21.516070
id_157,33.281749
id_158,2.839695
id_159,19.838829
id_160,43.770050
id_161,17.668132
id_162,56.313110
id_163,18.148442
id_164,35.350162
id_165,23.062013
id_166,20.896990
id_167,0.038077
id_168,64.133648
id_169,16.750709
id_170,16.121503
id_171,67.039804
id_172,20.439036
id_173,1.207586
id_174,21.022553
id_175,1.828092
id_176,4.654478
id_177,17.672614
id_178,18.673804
id_179,19.953495
id_180,41.990080
id_181,25.358593
id_182,26.865101
id_183,10.893850
id_184,7.847838
id_185,39.998749
id_186,35.362320
id_187,32.320062
id_188,15.688622
id_189,20.188892
id_190,14.092252
id_191,14.234860
id_192,32.022361
id_193,76.144961
id_194,26.754631
id_195,10.252987
id_196,60.148896
id_197,13.401077
id_198,18.338423
id_199,22.685361
id_200,125.583192
id_201,25.306751
id_202,57.431530
id_203,4.496007
id_204,61.940527
id_205,35.885664
id_206,16.357802
id_207,12.394935
id_208,63.684865
id_209,12.811640
id_210,26.347071
id_211,69.788677
id_212,18.784450
id_213,114.831876
id_214,39.495989
id_215,81.057582
id_216,93.674439
id_217,69.802375
id_218,27.977069
id_219,15.792728
id_220,30.241862
id_221,54.189501
id_222,27.908989
id_223,37.550094
id_224,42.382721
id_225,7.775141
id_226,1.762934
id_227,68.339959
id_228,28.197877
id_229,0.488512
id_230,39.034566
id_231,13.962789
id_232,20.742367
id_233,7.814748
id_234,9.534101
id_235,21.036351
id_236,11.084973
id_237,-0.958269
id_238,19.385020
id_239,-0.733552
