id,value
id_0,26.516450
id_1,62.586560
id_2,20.375738
id_3,29.615531
id_4,9.918242
id_5,37.651068
id_6,40.291851
id_7,16.684020
id_8,49.637321
id_9,33.046707
id_10,39.464070
id_11,58.541341
id_12,37.130009
id_13,43.209982
id_14,26.788627
id_15,12.860299
id_16,52.730839
id_17,23.633957
id_18,20.075482
id_19,20.092662
id_20,14.714521
id_21,29.608451
id_22,37.083593
id_23,10.684804
id_24,58.626037
id_25,44.105803
id_26,28.480290
id_27,9.280117
id_28,28.906198
id_29,35.809092
id_30,18.822366
id_31,11.531049
id_32,16.722590
id_33,7.266495
id_34,18.621686
id_35,38.804415
id_36,19.336542
id_37,28.224724
id_38,6.321065
id_39,59.744769
id_40,47.836656
id_41,16.802696
id_42,49.712018
id_43,18.432823
id_44,43.688400
id_45,51.811832
id_46,61.377387
id_47,40.646260
id_48,51.446514
id_49,41.525497
id_50,30.686875
id_51,25.491137
id_52,39.256744
id_53,24.931502
id_54,38.298840
id_55,40.066558
id_56,24.627822
id_57,22.497296
id_58,37.192762
id_59,31.344561
id_60,16.313959
id_61,22.827451
id_62,32.154833
id_63,55.570332
id_64,49.429997
id_65,26.506968
id_66,41.576898
id_67,54.521623
id_68,27.924593
id_69,39.142084
id_70,65.413249
id_71,53.770930
id_72,44.399100
id_73,11.074603
id_74,12.244789
id_75,36.792934
id_76,60.880186
id_77,3.117533
id_78,44.579775
id_79,41.095559
id_80,8.467101
id_81,22.821621
id_82,6.972481
id_83,33.104925
id_84,11.210672
id_85,5.443283
id_86,16.046833
id_87,11.985998
id_88,14.015585
id_89,29.622421
id_90,30.349765
id_91,11.141102
id_92,14.532465
id_93,6.844003
id_94,36.777298
id_95,16.399987
id_96,15.464963
id_97,8.748853
id_98,10.739798
id_99,4.230621
id_100,12.737042
id_101,18.176962
id_102,11.350817
id_103,5.284309
id_104,13.839716
id_105,37.069478
id_106,28.352807
id_107,7.436869
id_108,16.158554
id_109,15.616925
id_110,14.798016
id_111,18.393370
id_112,13.064005
id_113,28.793871
id_114,21.677326
id_115,15.342333
id_116,7.921622
id_117,45.359761
id_118,30.353361
id_119,1.530595
id_120,1.560152
id_121,10.845699
id_122,15.319762
id_123,15.415291
id_124,6.839735
id_125,26.278160
id_126,20.700128
id_127,13.434241
id_128,20.457782
id_129,18.394917
id_130,3.973724
id_131,36.165662
id_132,13.700755
id_133,26.508750
id_134,23.718093
id_135,20.790298
id_136,9.837573
id_137,19.800794
id_138,78.316516
id_139,63.535475
id_140,26.941680
id_141,17.087504
id_142,24.732895
id_143,8.178379
id_144,9.679900
id_145,10.567600
id_146,21.666501
id_147,7.355795
id_148,14.010969
id_149,16.632685
id_150,51.464747
id_151,22.987378
id_152,24.576413
id_153,15.693540
id_154,14.176719
id_155,27.716742
id_156,22.516701
id_157,34.236894
id_158,3.954578
id_159,20.562289
id_160,45.614198
id_161,18.958428
id_162,58.399806
id_163,19.199701
id_164,36.782324
id_165,24.312770
id_166,22.781812
id_167,0.828510
id_168,66.784775
id_169,18.229083
id_170,17.370964
id_171,68.963862
id_172,20.919941
id_173,2.187941
id_174,23.678138
id_175,2.629450
id_176,5.895117
id_177,20.055077
id_178,20.012638
id_179,21.306896
id_180,43.304393
id_181,26.552779
id_182,28.389885
id_183,12.104512
id_184,8.459948
id_185,41.544928
id_186,37.072394
id_187,33.319314
id_188,17.044516
id_189,21.197281
id_190,15.062872
id_191,15.079283
id_192,33.242874
id_193,78.388755
id_194,28.422199
id_195,11.431126
id_196,62.145578
id_197,14.268351
id_198,19.333258
id_199,24.213807
id_200,125.699702
id_201,27.027318
id_202,57.775102
id_203,5.892832
id_204,64.081754
id_205,36.228252
id_206,17.094326
id_207,13.821181
id_208,64.309430
id_209,15.116892
id_210,27.611862
id_211,73.769480
id_212,20.051890
id_213,118.615417
id_214,40.180599
id_215,86.181959
id_216,94.441558
id_217,72.274801
id_218,28.579932
id_219,18.833760
id_220,32.512864
id_221,56.989048
id_222,29.340334
id_223,39.343132
id_224,44.158028
id_225,8.387380
id_226,3.236036
id_227,69.691052
id_228,29.027485
id_229,1.432545
id_230,41.285062
id_231,15.453158
id_232,21.892459
id_233,8.821218
id_234,10.941475
id_235,21.673194
id_236,12.036887
id_237,0.050340
id_238,20.706411
id_239,0.318830
